name,street,village_id,user_id
Gemah Ripah,Krajan,41,1329
HARAPAN MAJU,Krajan,41,1330
Sejahtera,Krajan,41,1331
Tani Subur,Krajan,41,1332
Barokah,Punco curah takir,46,1333
karya maju,Curahrejo curahtakir,46,1334
MARGI RAHAYU,Dsn.krajan 2 ds.curahtakir,46,1335
punco jaya,Punco curah takir,46,1336
SUMBER TANI,Curahrejo curahtakir,46,1337
TANI MAKMUR,Krajan 2 CURAHTAKIR,46,1338
tunas jaya,Krajan 1 curahtakir,46,1339
JOHAR MULYA,Dusun Sumberejo Desa Pondokrejo Kecamatan Tempurejo,45,1340
Karya Utama,Dusun Sumberejo Desa Pondokrejo Kecamatan Tempurejo,45,1341
